Vivado Simulator 2018.3
Time resolution is 1 ps
Time=                   0, AWADDR=00000000, WDATA=00000000, BRESP=xx, RDATA=xxxxxxxx, M_AXI_WDATA=xxxxxxxx
Time=                5000, AWADDR=00000000, WDATA=00000000, BRESP=00, RDATA=00000000, M_AXI_WDATA=xxxxxxxx
Time=              105000, AWADDR=00000000, WDATA=00000009, BRESP=00, RDATA=00000000, M_AXI_WDATA=xxxxxxxx
Time=              155000, AWADDR=00000004, WDATA=00000001, BRESP=00, RDATA=00000000, M_AXI_WDATA=xxxxxxxx
Time=              205000, AWADDR=00000008, WDATA=00000010, BRESP=00, RDATA=00000000, M_AXI_WDATA=xxxxxxxx
Time=              255000, AWADDR=0000000c, WDATA=00000001, BRESP=00, RDATA=00000000, M_AXI_WDATA=xxxxxxxx
Time=              285000, AWADDR=0000000c, WDATA=00000001, BRESP=00, RDATA=00000000, M_AXI_WDATA=ff800001
Time=              325000, AWADDR=0000000c, WDATA=00000001, BRESP=00, RDATA=00000009, M_AXI_WDATA=ff800001
Time=              375000, AWADDR=0000000c, WDATA=00000001, BRESP=00, RDATA=00000001, M_AXI_WDATA=ff800001
Time=              425000, AWADDR=0000000c, WDATA=00000001, BRESP=00, RDATA=00000010, M_AXI_WDATA=ff800001
Time=              475000, AWADDR=0000000c, WDATA=00000001, BRESP=00, RDATA=00000000, M_AXI_WDATA=ff800001
$finish called at time : 555 ns : File "C:/Users/Administrator/Desktop/532proj1/part2/proj/proj_p2.srcs/sim_1/new/tb_mask_axi532.v" Line 205
