Vivado Simulator 2018.3
Time resolution is 1 ps
At time                    0, reset = 0, in_valid = 0, in_data =  0, out_largest =  x, expected =  0
At time                 5000, reset = 1, in_valid = 1, in_data =  2, out_largest =  x, expected =  0
At time                15000, reset = 1, in_valid = 1, in_data =  1, out_largest =  x, expected =  2
At time                25000, reset = 1, in_valid = 0, in_data =  6, out_largest =  x, expected =  2
At time                35000, reset = 0, in_valid = 1, in_data =  7, out_largest =  x, expected =  2
At time                45000, reset = 1, in_valid = 0, in_data =  8, out_largest =  0, expected =  0
At time                55000, reset = 1, in_valid = 1, in_data =  3, out_largest =  0, expected =  0
At time                65000, reset = 1, in_valid = 1, in_data =  4, out_largest =  3, expected =  3
At time                75000, reset = 1, in_valid = 1, in_data =  1, out_largest =  4, expected =  4
At time                85000, reset = 1, in_valid = 1, in_data =  9, out_largest =  4, expected =  4
At time                95000, reset = 1, in_valid = 1, in_data =  3, out_largest =  9, expected =  9
At time               105000, reset = 1, in_valid = 1, in_data = 13, out_largest =  9, expected =  9
At time               115000, reset = 1, in_valid = 1, in_data = 13, out_largest = 13, expected = 13
At time               125000, reset = 1, in_valid = 1, in_data =  5, out_largest = 13, expected = 13
At time               135000, reset = 1, in_valid = 1, in_data =  2, out_largest = 13, expected = 13
At time               145000, reset = 1, in_valid = 1, in_data =  1, out_largest = 13, expected = 13
At time               155000, reset = 1, in_valid = 1, in_data = 13, out_largest = 13, expected = 13
At time               165000, reset = 0, in_valid = 1, in_data =  7, out_largest = 13, expected = 13
At time               175000, reset = 1, in_valid = 0, in_data =  8, out_largest =  0, expected =  0
At time               185000, reset = 1, in_valid = 1, in_data =  3, out_largest =  0, expected =  0
At time               195000, reset = 1, in_valid = 0, in_data =  6, out_largest =  3, expected =  3
At time               205000, reset = 0, in_valid = 0, in_data = 13, out_largest =  3, expected =  3
At time               215000, reset = 0, in_valid = 0, in_data =  9, out_largest =  0, expected =  0
At time               225000, reset = 1, in_valid = 0, in_data =  5, out_largest =  0, expected =  0
At time               245000, reset = 1, in_valid = 0, in_data =  2, out_largest =  0, expected =  0
At time               265000, reset = 1, in_valid = 0, in_data =  8, out_largest =  0, expected =  0
At time               275000, reset = 1, in_valid = 0, in_data = 12, out_largest =  0, expected =  0
At time               285000, reset = 1, in_valid = 0, in_data = 13, out_largest =  0, expected =  0
At time               295000, reset = 1, in_valid = 1, in_data =  3, out_largest =  0, expected =  0
At time               305000, reset = 0, in_valid = 1, in_data =  0, out_largest =  3, expected =  3
At time               315000, reset = 0, in_valid = 0, in_data = 10, out_largest =  0, expected =  0
At time               325000, reset = 1, in_valid = 0, in_data =  6, out_largest =  0, expected =  0
At time               335000, reset = 1, in_valid = 1, in_data = 13, out_largest =  0, expected =  0
At time               345000, reset = 0, in_valid = 1, in_data = 11, out_largest = 13, expected = 13
At time               355000, reset = 0, in_valid = 1, in_data =  2, out_largest =  0, expected =  0
At time               365000, reset = 0, in_valid = 1, in_data = 13, out_largest =  0, expected =  0
At time               375000, reset = 0, in_valid = 0, in_data =  3, out_largest =  0, expected =  0
At time               385000, reset = 1, in_valid = 0, in_data = 10, out_largest =  0, expected =  0
At time               395000, reset = 1, in_valid = 0, in_data =  2, out_largest =  0, expected =  0
At time               405000, reset = 0, in_valid = 0, in_data =  1, out_largest =  0, expected =  0
At time               415000, reset = 0, in_valid = 0, in_data =  8, out_largest =  0, expected =  0
At time               425000, reset = 0, in_valid = 0, in_data = 11, out_largest =  0, expected =  0
At time               435000, reset = 0, in_valid = 0, in_data =  6, out_largest =  0, expected =  0
At time               445000, reset = 1, in_valid = 0, in_data = 12, out_largest =  0, expected =  0
At time               455000, reset = 1, in_valid = 1, in_data = 11, out_largest =  0, expected =  0
At time               465000, reset = 0, in_valid = 1, in_data =  5, out_largest = 11, expected = 11
At time               475000, reset = 0, in_valid = 1, in_data = 11, out_largest =  0, expected =  0
At time               485000, reset = 1, in_valid = 1, in_data = 14, out_largest =  0, expected =  0
At time               495000, reset = 1, in_valid = 0, in_data =  1, out_largest = 14, expected = 14
At time               505000, reset = 0, in_valid = 0, in_data =  2, out_largest = 14, expected = 14
At time               515000, reset = 0, in_valid = 0, in_data = 15, out_largest =  0, expected =  0
At time               525000, reset = 0, in_valid = 0, in_data =  8, out_largest =  0, expected =  0
At time               535000, reset = 0, in_valid = 1, in_data = 15, out_largest =  0, expected =  0
At time               545000, reset = 1, in_valid = 1, in_data = 11, out_largest =  0, expected =  0
At time               555000, reset = 1, in_valid = 1, in_data =  9, out_largest = 11, expected = 11
At time               565000, reset = 1, in_valid = 1, in_data =  7, out_largest = 11, expected = 11
At time               575000, reset = 1, in_valid = 0, in_data =  6, out_largest = 11, expected = 11
At time               585000, reset = 1, in_valid = 0, in_data =  2, out_largest = 11, expected = 11
At time               595000, reset = 1, in_valid = 1, in_data =  7, out_largest = 11, expected = 11
At time               605000, reset = 0, in_valid = 1, in_data =  2, out_largest = 11, expected = 11
At time               615000, reset = 0, in_valid = 0, in_data = 13, out_largest =  0, expected =  0
At time               625000, reset = 0, in_valid = 0, in_data = 15, out_largest =  0, expected =  0
At time               635000, reset = 0, in_valid = 0, in_data =  5, out_largest =  0, expected =  0
At time               645000, reset = 0, in_valid = 0, in_data = 11, out_largest =  0, expected =  0
At time               655000, reset = 0, in_valid = 1, in_data = 15, out_largest =  0, expected =  0
At time               665000, reset = 0, in_valid = 1, in_data =  8, out_largest =  0, expected =  0
At time               675000, reset = 0, in_valid = 1, in_data = 14, out_largest =  0, expected =  0
At time               685000, reset = 0, in_valid = 1, in_data = 10, out_largest =  0, expected =  0
At time               695000, reset = 0, in_valid = 0, in_data =  3, out_largest =  0, expected =  0
At time               705000, reset = 1, in_valid = 0, in_data = 15, out_largest =  0, expected =  0
At time               715000, reset = 1, in_valid = 1, in_data = 15, out_largest =  0, expected =  0
At time               725000, reset = 0, in_valid = 1, in_data =  7, out_largest = 15, expected = 15
At time               735000, reset = 0, in_valid = 1, in_data =  6, out_largest =  0, expected =  0
At time               745000, reset = 0, in_valid = 1, in_data =  9, out_largest =  0, expected =  0
At time               755000, reset = 0, in_valid = 1, in_data = 10, out_largest =  0, expected =  0
At time               765000, reset = 1, in_valid = 1, in_data =  5, out_largest =  0, expected =  0
At time               775000, reset = 1, in_valid = 0, in_data =  9, out_largest =  5, expected =  5
At time               785000, reset = 0, in_valid = 0, in_data =  0, out_largest =  5, expected =  5
At time               795000, reset = 0, in_valid = 0, in_data = 11, out_largest =  0, expected =  0
At time               805000, reset = 0, in_valid = 0, in_data = 12, out_largest =  0, expected =  0
At time               815000, reset = 0, in_valid = 1, in_data = 13, out_largest =  0, expected =  0
At time               825000, reset = 0, in_valid = 1, in_data =  6, out_largest =  0, expected =  0
At time               835000, reset = 0, in_valid = 1, in_data =  7, out_largest =  0, expected =  0
At time               845000, reset = 0, in_valid = 1, in_data =  6, out_largest =  0, expected =  0
